feature,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage,outlier_conversion_rate,normal_conversion_rate,conversion_difference,impact_category
faturamento_anual_milhoes,17.175,36.5,19.325,-11.812,65.488,6,2.0,0.5,0.48,0.02,Neutral
numero_SKUs,1307.75,3658.5,2350.75,-2218.375,7184.625,0,0.0,0.0,0.48,-0.48,High Negative
margem_media_setor,12.0,22.0,10.0,-3.0,37.0,0,0.0,0.0,0.48,-0.48,High Negative
emails_enviados,2.0,5.0,3.0,-2.5,9.5,2,0.667,0.5,0.48,0.02,Neutral
emails_abertos,1.0,3.0,2.0,-2.0,6.0,1,0.333,0.0,0.482,-0.482,High Negative
emails_respondidos,0.0,1.0,1.0,-1.5,2.5,13,4.333,0.538,0.477,0.061,Moderate Positive
reunioes_realizadas,0.0,1.0,1.0,-1.5,2.5,7,2.333,0.857,0.471,0.386,High Positive
days_since_first_touch,60.75,181.25,120.5,-120.0,362.0,0,0.0,0.0,0.48,-0.48,High Negative
